Log_GDP_per_capita,Social_support,Healthy_life_expectancy_at_birth,Freedom_to_make_life_choices,Generosity,Perceptions_of_corruption,Regional_indicator_Central and Eastern Europe,Regional_indicator_Commonwealth of Independent States,Regional_indicator_East Asia,Regional_indicator_Latin America and Caribbean,Regional_indicator_Middle East and North Africa,Regional_indicator_North America and ANZ,Regional_indicator_South Asia,Regional_indicator_Southeast Asia,Regional_indicator_Sub-Saharan Africa,Regional_indicator_Western Europe
8.19,0.677,52.7,0.816,0.036,0.884,0,0,0,0,0,0,0,0,1,0
8.203,0.711,53.5,0.712,-0.008,0.817,0,0,0,0,0,0,0,0,1,0
8.175,0.72,54.3,0.675,0.049,0.837,0,0,0,0,0,0,0,0,1,0
10.652,0.962,71.3,0.957,0.256,0.503,0,0,0,0,0,1,0,0,0,0
10.739,0.9349333333333334,71.66,0.93,0.249,0.406,0,0,0,0,0,1,0,0,0,0
10.738,0.939,71.84,0.926,0.262,0.37,0,0,0,0,0,1,0,0,0,0
10.697,0.943,72.02,0.915,0.246,0.413,0,0,0,0,0,1,0,0,0,0
10.717,0.954,72.2,0.934,0.23,0.413,0,0,0,0,0,1,0,0,0,0
10.738,0.922,72.36,0.951,0.253,0.433,0,0,0,0,0,1,0,0,0,0
10.744,0.948,72.52,0.918,0.29,0.466,0,0,0,0,0,1,0,0,0,0
10.757,0.936,72.68,0.916,0.316,0.406,0,0,0,0,0,1,0,0,0,0
10.775,0.918,72.84,0.939,0.27,0.442,0,0,0,0,0,1,0,0,0,0
10.774,0.939,73.0,0.931,0.253,0.427,0,0,0,0,0,1,0,0,0,0
10.773,0.924,73.2,0.912,0.211,0.385,0,0,0,0,0,1,0,0,0,0
10.792,0.934,73.4,0.945,0.163,0.362,0,0,0,0,0,1,0,0,0,0
10.798,0.923,73.6,0.946,0.106,0.372,0,0,0,0,0,1,0,0,0,0
10.8,0.925,73.8,0.912,0.112,0.436,0,0,0,0,0,1,0,0,0,0
10.73,0.931,74.0,0.887,0.05,0.434,0,0,0,0,0,1,0,0,0,0
6.987,0.532,40.9,0.663,0.081,0.782,0,0,0,0,0,0,0,0,1,0
7.091,0.483,42.7,0.69,-0.036,0.845,0,0,0,0,0,0,0,0,1,0
7.125,0.387,43.08,0.78,-0.016,0.834,0,0,0,0,0,0,0,0,1,0
6.785,0.29,44.9,0.624,0.033,0.859,0,0,0,0,0,0,0,0,1,0
6.817,0.32,45.2,0.645,0.073,0.89,0,0,0,0,0,0,0,0,1,0
7.36,0.724,43.18,0.306,0.028,0.961,0,0,0,0,0,0,0,0,1,0
7.359,0.479,43.66,0.295,-0.011,0.874,0,0,0,0,0,0,0,0,1,0
7.356,0.571,44.14,0.527,0.063,0.944,0,0,0,0,0,0,0,0,1,0
7.364,0.646,44.62,0.401,0.021,0.931,0,0,0,0,0,0,0,0,1,0
7.457,0.734,45.1,0.505,0.025,0.858,0,0,0,0,0,0,0,0,1,0
7.425,0.819,45.42,0.54,0.031,0.876,0,0,0,0,0,0,0,0,1,0
7.476,0.673,45.74,0.563,-0.034,0.884,0,0,0,0,0,0,0,0,1,0
7.498,0.714,46.06,0.488,-0.045,0.882,0,0,0,0,0,0,0,0,1,0
7.532,0.733,46.38,0.567,-0.07,0.881,0,0,0,0,0,0,0,0,1,0
7.527,0.751,46.7,0.474,-0.029,0.889,0,0,0,0,0,0,0,0,1,0
7.431,0.616,47.2,0.525,0.052,0.82,0,0,0,0,0,0,0,0,1,0
7.37,0.661,47.7,0.615,0.008,0.792,0,0,0,0,0,0,0,0,1,0
7.363,0.577,48.2,0.65,0.024,0.763,0,0,0,0,0,0,0,0,1,0
7.365,0.64,48.7,0.537,0.055,0.832,0,0,0,0,0,0,0,0,1,0
9.85,0.836,68.66,0.744,0.168,0.634,0,0,0,1,0,0,0,0,0,0
9.887,0.815,68.72,0.662,0.244,0.723,0,0,0,1,0,0,0,0,0,0
9.911,0.804,68.78,0.64,0.084,0.741,0,0,0,1,0,0,0,0,0,0
9.885,0.832,68.84,0.747,0.149,0.734,0,0,0,1,0,0,0,0,0,0
9.931,0.857,68.9,0.786,0.108,0.702,0,0,0,1,0,0,0,0,0,0
9.98,0.819,69.04,0.701,0.112,0.753,0,0,0,1,0,0,0,0,0,0
10.023,0.855,69.18,0.734,0.195,0.782,0,0,0,1,0,0,0,0,0,0
10.053,0.862,69.32,0.737,0.085,0.741,0,0,0,1,0,0,0,0,0,0
10.059,0.862,69.46,0.733,0.217,0.758,0,0,0,1,0,0,0,0,0,0
10.07,0.827,69.6,0.769,0.041,0.812,0,0,0,1,0,0,0,0,0,0
10.074,0.841,69.7,0.652,0.102,0.858,0,0,0,1,0,0,0,0,0,0
10.072,0.88,69.8,0.79,-0.02,0.836,0,0,0,1,0,0,0,0,0,0
10.097,0.89,69.9,0.789,-0.06,0.816,0,0,0,1,0,0,0,0,0,0
10.095,0.869,70.0,0.659,-0.103,0.86,0,0,0,1,0,0,0,0,0,0
10.02,0.888,70.1,0.781,0.033,0.812,0,0,0,1,0,0,0,0,0,0
9.277,0.91,65.22,0.805,-0.015,0.808,0,0,0,1,0,0,0,0,0,0
9.33,0.894,65.34,0.786,-0.04,0.86,0,0,0,1,0,0,0,0,0,0
9.351,0.88,65.46,0.795,-0.042,0.763,0,0,0,1,0,0,0,0,0,0
9.351,0.886,65.58,0.757,-0.055,0.837,0,0,0,1,0,0,0,0,0,0
9.384,0.893,65.7,0.816,-0.05,0.815,0,0,0,1,0,0,0,0,0,0
9.442,0.904,65.92,0.811,-0.073,0.847,0,0,0,1,0,0,0,0,0,0
9.471,0.914,66.14,0.828,-0.009,0.868,0,0,0,1,0,0,0,0,0,0
9.512,0.901,66.36,0.841,-0.071,0.898,0,0,0,1,0,0,0,0,0,0
9.546,0.907,66.58,0.801,-0.09,0.887,0,0,0,1,0,0,0,0,0,0
9.564,0.89,66.8,0.791,-0.1,0.843,0,0,0,1,0,0,0,0,0,0
9.571,0.882,67.1,0.835,-0.1,0.898,0,0,0,1,0,0,0,0,0,0
9.569,0.909,67.4,0.838,-0.157,0.875,0,0,0,1,0,0,0,0,0,0
9.579,0.871,67.7,0.851,-0.148,0.855,0,0,0,1,0,0,0,0,0,0
9.598,0.873,68.0,0.822,-0.172,0.854,0,0,0,1,0,0,0,0,0,0
9.495,0.797,68.3,0.84,-0.085,0.808,0,0,0,1,0,0,0,0,0,0
7.952,0.629,54.36,0.508,-0.074,0.838,0,0,0,0,0,0,0,0,1,0
7.965,0.721,54.7,0.529,0.005,0.741,0,0,0,0,0,0,0,0,1,0
7.981,0.722,55.02,0.5,-0.075,0.732,0,0,0,0,0,0,0,0,1,0
7.988,0.719,55.34,0.534,-0.121,0.651,0,0,0,0,0,0,0,0,1,0
8.028,0.621,57.2,0.56,0.086,0.794,0,0,0,0,0,0,0,0,1,0
8.033,0.632,57.5,0.538,0.077,0.762,0,0,0,0,0,0,0,0,1,0
8.082,0.555,52.2,0.526,-0.098,0.7810999999999999,0,0,0,0,0,0,0,0,1,0
8.18,0.637,54.58,0.745,-0.109,0.833,0,0,0,0,0,0,0,0,1,0
8.192,0.622,54.96,0.773,-0.112,0.8,0,0,0,0,0,0,0,0,1,0
8.201,0.68,55.34,0.726,-0.078,0.752,0,0,0,0,0,0,0,0,1,0
8.242,0.686,55.72,0.662,-0.11,0.808,0,0,0,0,0,0,0,0,1,0
8.243,0.642,56.1,0.85,-0.104,0.841,0,0,0,0,0,0,0,0,1,0
8.19,0.615,56.7,0.786,-0.072,0.79,0,0,0,0,0,0,0,0,1,0
8.146,0.655,57.3,0.778,-0.131,0.763,0,0,0,0,0,0,0,0,1,0
8.136,0.621,57.9,0.699,-0.092,0.738,0,0,0,0,0,0,0,0,1,0
8.101,0.625,58.5,0.686,-0.046,0.741,0,0,0,0,0,0,0,0,1,0
6.728,0.733,49.34,0.556,-0.022,0.824,0,0,0,0,0,0,0,0,1,0
6.797,0.744,50.34,0.631,-0.025,0.856,0,0,0,0,0,0,0,0,1,0
6.832,0.77,50.78,0.557,-0.035,0.807,0,0,0,0,0,0,0,0,1,0
6.88,0.83,51.22,0.48,0.012,0.913,0,0,0,0,0,0,0,0,1,0
6.937,0.822,51.66,0.556,0.009,0.814,0,0,0,0,0,0,0,0,1,0
6.971,0.767,52.1,0.574,-0.048,0.866,0,0,0,0,0,0,0,0,1,0
6.962,0.864,52.5,0.637,-0.024,0.875,0,0,0,0,0,0,0,0,1,0
6.966,0.67,52.9,0.704,0.068,0.809,0,0,0,0,0,0,0,0,1,0
9.565,0.937,69.94,0.882,0.06,0.798,0,0,0,1,0,0,0,0,0,0
9.63,0.918,69.88,0.923,0.098,0.82,0,0,0,1,0,0,0,0,0,0
9.662,0.916,69.82,0.912,0.096,0.816,0,0,0,1,0,0,0,0,0,0
9.639,0.9,69.76,0.886,0.065,0.787,0,0,0,1,0,0,0,0,0,0
9.675,0.915,69.7,0.881,0.047,0.763,0,0,0,1,0,0,0,0,0,0
9.705,0.892,69.9,0.926,-0.033,0.837,0,0,0,1,0,0,0,0,0,0
9.74,0.902,70.1,0.929,0.046,0.794,0,0,0,1,0,0,0,0,0,0
9.751,0.902,70.3,0.898,0.018,0.813,0,0,0,1,0,0,0,0,0,0
9.775,0.914,70.5,0.927,0.01,0.788,0,0,0,1,0,0,0,0,0,0
9.799,0.878,70.7,0.907,-0.059,0.761,0,0,0,1,0,0,0,0,0,0
9.83,0.901,70.9,0.873,-0.032,0.781,0,0,0,1,0,0,0,0,0,0
9.858,0.922,71.1,0.936,-0.076,0.742,0,0,0,1,0,0,0,0,0,0
9.874,0.876,71.3,0.942,-0.107,0.781,0,0,0,1,0,0,0,0,0,0
9.885,0.906,71.5,0.927,-0.146,0.836,0,0,0,1,0,0,0,0,0,0
10.162,0.91,67.12,0.662,-0.092,0.934,1,0,0,0,0,0,0,0,0,0
10.104,0.861,67.64,0.549,-0.271,0.958,1,0,0,0,0,0,0,0,0,0
10.091,0.796,67.9,0.564,-0.237,0.973,1,0,0,0,0,0,0,0,0,0
10.091,0.79,68.0,0.517,-0.198,0.977,1,0,0,0,0,0,0,0,0,0
10.072,0.776,68.1,0.542,-0.242,0.924,1,0,0,0,0,0,0,0,0,0
10.069,0.751,68.2,0.627,-0.204,0.936,1,0,0,0,0,0,0,0,0,0
10.072,0.646,68.3,0.519,0.132,0.918,1,0,0,0,0,0,0,0,0,0
10.104,0.768,68.4,0.694,-0.096,0.849,1,0,0,0,0,0,0,0,0,0
10.146,0.798,69.0,0.672,-0.065,0.884,1,0,0,0,0,0,0,0,0,0
10.189,0.77,69.6,0.716,-0.104,0.892,1,0,0,0,0,0,0,0,0,0
10.224,0.91,70.2,0.691,-0.151,0.925,1,0,0,0,0,0,0,0,0,0
10.258,0.936,70.8,0.739,-0.137,0.932,1,0,0,0,0,0,0,0,0,0
10.166,0.923,71.4,0.837,-0.063,0.961,1,0,0,0,0,0,0,0,0,0
10.566,0.878,71.44,0.836,0.018,0.712,0,0,0,0,0,0,0,0,0,1
10.558,0.812,72.16,0.775,0.054,0.801,0,0,0,0,0,0,0,0,0,1
10.551,0.822,72.4,0.755,0.073,0.833,0,0,0,0,0,0,0,0,0,1
10.53,0.844,72.54,0.745,0.18,0.841,0,0,0,0,0,0,0,0,0,1
10.479,0.767,72.68,0.725,0.098,0.871,0,0,0,0,0,0,0,0,0,1
10.414,0.744,72.82,0.656,0.102,0.867,0,0,0,0,0,0,0,0,0,1
10.406,0.77,72.96,0.715,0.06,0.868,0,0,0,0,0,0,0,0,0,1
10.445,0.77,73.1,0.628,0.114,0.893,0,0,0,0,0,0,0,0,0,1
10.506,0.786,73.3,0.756,-0.03,0.898,0,0,0,0,0,0,0,0,0,1
10.539,0.819,73.5,0.812,0.043,0.851,0,0,0,0,0,0,0,0,0,1
10.567,0.826,73.7,0.794,-0.022,0.848,0,0,0,0,0,0,0,0,0,1
10.585,0.776,73.9,0.74,-0.008,0.865,0,0,0,0,0,0,0,0,0,1
10.517076923076925,0.806,74.1,0.763,0.0513076923076923,0.816,0,0,0,0,0,0,0,0,0,1
10.324,0.919,67.0,0.865,-0.153,0.901,1,0,0,0,0,0,0,0,0,0
10.437,0.9,67.44,0.799,-0.063,0.928,1,0,0,0,0,0,0,0,0,0
10.419,0.934,68.1,0.779,-0.042,0.926,1,0,0,0,0,0,0,0,0,0
10.435,0.914,68.24,0.787,-0.106,0.95,1,0,0,0,0,0,0,0,0,0
10.426,0.912,68.38,0.74,-0.154,0.957,1,0,0,0,0,0,0,0,0,0
10.42,0.888,68.52,0.726,-0.156,0.916,1,0,0,0,0,0,0,0,0,0
10.446,0.878,68.66,0.8,-0.168,0.897,1,0,0,0,0,0,0,0,0,0
10.496,0.911,68.8,0.808,-0.146,0.886,1,0,0,0,0,0,0,0,0,0
10.518,0.931,69.3,0.85,-0.197,0.9,1,0,0,0,0,0,0,0,0,0
10.558,0.901,69.8,0.832,-0.177,0.867,1,0,0,0,0,0,0,0,0,0
10.583,0.929,70.3,0.79,-0.292,0.851,1,0,0,0,0,0,0,0,0,0
10.53,0.964,71.3,0.906,-0.127,0.884,1,0,0,0,0,0,0,0,0,0
10.851,0.972,69.6,0.971,0.1615333333333333,0.237,0,0,0,0,0,0,0,0,0,1
10.891,0.954,69.92,0.932,0.24,0.206,0,0,0,0,0,0,0,0,0,1
10.88,0.954,70.08,0.97,0.272,0.248,0,0,0,0,0,0,0,0,0,1
10.824,0.939,70.24,0.949,0.264,0.206,0,0,0,0,0,0,0,0,0,1
10.839,0.975,70.4,0.944,0.242,0.175,0,0,0,0,0,0,0,0,0,1
10.848,0.962,70.62,0.935,0.298,0.22,0,0,0,0,0,0,0,0,0,1
10.846,0.951,70.84,0.933,0.139,0.187,0,0,0,0,0,0,0,0,0,1
10.851,0.965,71.06,0.92,0.215,0.17,0,0,0,0,0,0,0,0,0,1
10.862,0.956,71.28,0.942,0.118,0.237,0,0,0,0,0,0,0,0,0,1
10.878,0.96,71.5,0.941,0.222,0.191,0,0,0,0,0,0,0,0,0,1
10.903,0.954,71.8,0.948,0.138,0.21,0,0,0,0,0,0,0,0,0,1
10.916,0.952,72.1,0.955,0.155,0.181,0,0,0,0,0,0,0,0,0,1
10.935,0.958,72.4,0.935,0.018,0.151,0,0,0,0,0,0,0,0,0,1
10.954,0.958,72.7,0.963,0.02,0.174,0,0,0,0,0,0,0,0,0,1
10.91,0.947,73.0,0.938,0.052,0.214,0,0,0,0,0,0,0,0,0,1
8.111,0.69,53.26,0.773,0.129,0.576,0,0,0,0,0,0,0,0,1,0
7.927,0.901,53.78,0.649,0.005,0.634,0,0,0,0,0,0,0,0,1,0
7.812,0.7413333333333334,54.3,0.764,-0.058,0.597,0,0,0,0,0,0,0,0,1,0
7.88,0.633,54.7,0.746,-0.057,0.519,0,0,0,0,0,0,0,0,1,0
9.314,0.919,62.68,0.858,0.038,0.755,0,0,0,1,0,0,0,0,0,0
9.372,0.848,62.96,0.886,-0.008,0.772,0,0,0,1,0,0,0,0,0,0
9.391,0.85,63.24,0.848,-0.045,0.728,0,0,0,1,0,0,0,0,0,0
9.388,0.878,63.52,0.863,-0.053,0.806,0,0,0,1,0,0,0,0,0,0
9.456,0.86,63.8,0.824,-0.075,0.78,0,0,0,1,0,0,0,0,0,0
9.475,0.872,64.02,0.848,0.014,0.788,0,0,0,1,0,0,0,0,0,0
9.489,0.879,64.24,0.84,-0.062,0.727,0,0,0,1,0,0,0,0,0,0
9.525,0.878,64.46,0.889,0.021,0.752,0,0,0,1,0,0,0,0,0,0
9.582,0.891,64.68,0.905,-0.02,0.76,0,0,0,1,0,0,0,0,0,0
9.637,0.893,64.9,0.856,-0.065,0.755,0,0,0,1,0,0,0,0,0,0
9.691,0.895,65.2,0.873,-0.08,0.737,0,0,0,1,0,0,0,0,0,0
9.725,0.894,65.5,0.855,-0.121,0.76,0,0,0,1,0,0,0,0,0,0
9.782,0.862,65.8,0.867,-0.15,0.762,0,0,0,1,0,0,0,0,0,0
9.821,0.884,66.1,0.877,-0.123,0.746,0,0,0,1,0,0,0,0,0,0
9.802,0.806,66.4,0.835,-0.128,0.636,0,0,0,1,0,0,0,0,0,0
9.186,0.91,66.08,0.671,-0.091,0.901,0,0,0,1,0,0,0,0,0,0
9.191,0.839,66.26,0.67,-0.063,0.83,0,0,0,1,0,0,0,0,0,0
9.236,0.829,66.44,0.64,-0.094,0.801,0,0,0,1,0,0,0,0,0,0
9.225,0.779,66.62,0.737,-0.108,0.774,0,0,0,1,0,0,0,0,0,0
9.244,0.839,66.8,0.723,-0.063,0.806,0,0,0,1,0,0,0,0,0,0
9.304,0.818,66.96,0.788,-0.155,0.702,0,0,0,1,0,0,0,0,0,0
9.344,0.785,67.12,0.825,-0.084,0.73,0,0,0,1,0,0,0,0,0,0
9.377,0.801,67.28,0.787,-0.191,0.646,0,0,0,1,0,0,0,0,0,0
9.399,0.831,67.44,0.719,-0.167,0.661,0,0,0,1,0,0,0,0,0,0
9.384,0.856,67.6,0.801,-0.114,0.666,0,0,0,1,0,0,0,0,0,0
9.355,0.842,67.9,0.846,-0.015,0.774,0,0,0,1,0,0,0,0,0,0
9.36,0.849,68.2,0.879,-0.167,0.734,0,0,0,1,0,0,0,0,0,0
9.355,0.851,68.5,0.869,-0.099,0.831,0,0,0,1,0,0,0,0,0,0
9.339,0.808,68.8,0.83,-0.115,0.839,0,0,0,1,0,0,0,0,0,0
9.244,0.804,69.1,0.829,-0.157,0.855,0,0,0,1,0,0,0,0,0,0
9.036,0.848,59.7,0.817,-0.1353333333333333,0.8239000000000001,0,0,0,0,1,0,0,0,0,0
9.135,0.686,59.82,0.609,-0.121,0.8239000000000001,0,0,0,0,1,0,0,0,0,0
9.186,0.738,59.88,0.6333333333333333,-0.087,0.914,0,0,0,0,1,0,0,0,0,0
9.213,0.744,59.94,0.611,-0.1,0.801,0,0,0,0,1,0,0,0,0,0
9.244,0.769,60.0,0.486,-0.076,0.826,0,0,0,0,1,0,0,0,0,0
9.24,0.753,60.16,0.59,-0.151,0.859,0,0,0,0,1,0,0,0,0,0
9.24,0.737,60.32,0.452,-0.138,0.88,0,0,0,0,1,0,0,0,0,0
9.239,0.675,60.48,0.474,-0.141,0.913,0,0,0,0,1,0,0,0,0,0
9.245,0.619,60.64,0.578,-0.126,0.749,0,0,0,0,1,0,0,0,0,0
9.266,0.73,60.8,0.659,-0.089,0.684,0,0,0,0,1,0,0,0,0,0
9.287,0.809,61.1,0.656,-0.141,0.818,0,0,0,0,1,0,0,0,0,0
9.307,0.638,61.4,0.593,-0.152,0.8239000000000001,0,0,0,0,1,0,0,0,0,0
9.338,0.759,61.7,0.682,-0.215,0.8239000000000001,0,0,0,0,1,0,0,0,0,0
9.373,0.772,62.0,0.774,-0.199,0.8239000000000001,0,0,0,0,1,0,0,0,0,0
9.383,0.673,62.3,0.77,-0.112,0.8239000000000001,0,0,0,0,1,0,0,0,0,0
8.873,0.878,62.92,0.683,-0.056,0.807,0,0,0,1,0,0,0,0,0,0
8.887,0.717,63.24,0.639,-0.015,0.785,0,0,0,1,0,0,0,0,0,0
8.908,0.747,63.56,0.636,-0.078,0.735,0,0,0,1,0,0,0,0,0,0
8.883,0.734,63.88,0.671,-0.103,0.648,0,0,0,1,0,0,0,0,0,0
8.9,0.757,64.2,0.669,-0.064,0.694,0,0,0,1,0,0,0,0,0,0
8.933,0.731,64.4,0.747,-0.126,0.707,0,0,0,1,0,0,0,0,0,0
8.956,0.806,64.6,0.683,-0.155,0.786,0,0,0,1,0,0,0,0,0,0
8.974,0.827,64.8,0.716,-0.15,0.772,0,0,0,1,0,0,0,0,0,0
8.986,0.798,65.0,0.778,-0.194,0.781,0,0,0,1,0,0,0,0,0,0
9.005,0.791,65.2,0.733,-0.156,0.805,0,0,0,1,0,0,0,0,0,0
9.025,0.794,65.5,0.8,-0.185,0.797,0,0,0,1,0,0,0,0,0,0
9.042,0.829,65.8,0.758,-0.172,0.778,0,0,0,1,0,0,0,0,0,0
9.061,0.82,66.1,0.863,-0.095,0.801,0,0,0,1,0,0,0,0,0,0
9.08,0.764,66.4,0.877,-0.109,0.682,0,0,0,1,0,0,0,0,0,0
9.019,0.696,66.7,0.924,-0.126,0.583,0,0,0,1,0,0,0,0,0,0
10.27,0.91,64.86,0.749,-0.264,0.797,1,0,0,0,0,0,0,0,0,0
10.347,0.896,65.32,0.712,-0.246,0.743,1,0,0,0,0,0,0,0,0,0
10.298,0.904,65.78,0.642,-0.217,0.663,1,0,0,0,0,0,0,0,0,0
10.144,0.874,66.24,0.611,-0.23,0.793,1,0,0,0,0,0,0,0,0,0
10.248,0.909,66.96,0.735,-0.168,0.687,1,0,0,0,0,0,0,0,0,0
10.282,0.889,67.22,0.697,-0.192,0.793,1,0,0,0,0,0,0,0,0,0
10.299,0.901,67.48,0.754,-0.201,0.726,1,0,0,0,0,0,0,0,0,0
10.331,0.917,67.74,0.773,-0.153,0.652,1,0,0,0,0,0,0,0,0,0
10.348,0.918,68.0,0.815,-0.164,0.569,1,0,0,0,0,0,0,0,0,0
10.374,0.938,68.2,0.843,-0.149,0.639,1,0,0,0,0,0,0,0,0,0
10.429,0.936,68.4,0.862,-0.101,0.668,1,0,0,0,0,0,0,0,0,0
10.472,0.933,68.6,0.886,-0.141,0.621,1,0,0,0,0,0,0,0,0,0
10.511,0.934,68.8,0.887,-0.096,0.576,1,0,0,0,0,0,0,0,0,0
10.459,0.958,69.0,0.954,-0.082,0.398,1,0,0,0,0,0,0,0,0,0
7.271,0.659,55.2,0.776,-0.044,0.7283333333333334,0,0,0,0,0,0,0,0,1,0
7.343,0.602,55.8,0.707,-0.008,0.75,0,0,0,0,0,0,0,0,1,0
7.413,0.64,56.4,0.694,0.08,0.702,0,0,0,0,0,0,0,0,1,0
7.484,0.626,57.0,0.803,0.113,0.567,0,0,0,0,0,0,0,0,1,0
7.547,0.719,57.5,0.744,0.038,0.703,0,0,0,0,0,0,0,0,1,0
7.612,0.734,58.0,0.717,0.001,0.757,0,0,0,0,0,0,0,0,1,0
7.651,0.74,58.5,0.74,0.039,0.799,0,0,0,0,0,0,0,0,1,0
7.705,0.748,59.0,0.754,0.053,0.732,0,0,0,0,0,0,0,0,1,0
7.711,0.823,59.5,0.769,0.188,0.784,0,0,0,0,0,0,0,0,1,0
10.745,0.965,69.76,0.969,-0.005,0.132,0,0,0,0,0,0,0,0,0,1
10.796,0.951,70.08,0.934,0.028,0.217,0,0,0,0,0,0,0,0,0,1
10.734,0.935,70.4,0.916,0.091,0.413,0,0,0,0,0,0,0,0,0,1
10.754,0.938,70.64,0.936,0.101,0.32,0,0,0,0,0,0,0,0,0,1
10.735,0.928,70.88,0.921,-0.001,0.361,0,0,0,0,0,0,0,0,0,1
10.722,0.941,71.12,0.919,0.04,0.306,0,0,0,0,0,0,0,0,0,1
10.714,0.952,71.36,0.933,-0.001,0.265,0,0,0,0,0,0,0,0,0,1
10.716,0.948,71.6,0.93,0.111,0.223,0,0,0,0,0,0,0,0,0,1
10.74,0.954,71.7,0.948,-0.027,0.25,0,0,0,0,0,0,0,0,0,1
10.768,0.964,71.8,0.962,-0.002,0.192,0,0,0,0,0,0,0,0,0,1
10.783,0.962,71.9,0.938,-0.127,0.199,0,0,0,0,0,0,0,0,0,1
10.792,0.937,72.0,0.948,-0.052,0.195,0,0,0,0,0,0,0,0,0,1
10.75,0.962,72.1,0.962,-0.116,0.164,0,0,0,0,0,0,0,0,0,1
10.642,0.94,71.3,0.895,-0.1016666666666666,0.688,0,0,0,0,0,0,0,0,0,1
10.659,0.944,71.48,0.789,0.126,0.699,0,0,0,0,0,0,0,0,0,1
10.674,0.935,71.84,0.833,-0.031,0.669,0,0,0,0,0,0,0,0,0,1
10.639,0.918,72.02,0.798,-0.082,0.654,0,0,0,0,0,0,0,0,0,1
10.654,0.943,72.2,0.85,-0.104,0.623,0,0,0,0,0,0,0,0,0,1
10.671,0.921,72.4,0.903,-0.102,0.627,0,0,0,0,0,0,0,0,0,1
10.669,0.937,72.6,0.841,-0.149,0.608,0,0,0,0,0,0,0,0,0,1
10.669,0.908,72.8,0.878,-0.125,0.699,0,0,0,0,0,0,0,0,0,1
10.674,0.878,73.0,0.803,-0.118,0.656,0,0,0,0,0,0,0,0,0,1
10.682,0.896,73.2,0.817,-0.139,0.641,0,0,0,0,0,0,0,0,0,1
10.69,0.885,73.4,0.787,-0.091,0.623,0,0,0,0,0,0,0,0,0,1
10.711,0.931,73.6,0.834,-0.123,0.601,0,0,0,0,0,0,0,0,0,1
10.727,0.921,73.8,0.816,-0.138,0.582,0,0,0,0,0,0,0,0,0,1
10.74,0.958,74.0,0.827,-0.133,0.568,0,0,0,0,0,0,0,0,0,1
10.643,0.947,74.2,0.823,-0.169,0.565,0,0,0,0,0,0,0,0,0,1
9.608,0.653,55.48,0.772,-0.211,0.851,0,0,0,0,0,0,0,0,1,0
9.621,0.736,56.16,0.566,-0.195,0.81,0,0,0,0,0,0,0,0,1,0
9.638,0.733,56.84,0.682,-0.146,0.78,0,0,0,0,0,0,0,0,1,0
9.644,0.829,57.52,0.607,-0.198,0.782,0,0,0,0,0,0,0,0,1,0
9.649,0.756,58.2,0.671,-0.194,0.867,0,0,0,0,0,0,0,0,1,0
9.639,0.78,58.7,0.699,-0.204,0.817,0,0,0,0,0,0,0,0,1,0
9.616,0.807,59.2,0.652,-0.228,0.868,0,0,0,0,0,0,0,0,1,0
9.599,0.785,59.7,0.719,-0.197,0.823,0,0,0,0,0,0,0,0,1,0
9.607,0.763,60.2,0.736,-0.203,0.846,0,0,0,0,0,0,0,0,1,0
7.637,0.697,54.7,0.812,0.111,0.572,0,0,0,0,0,0,0,0,1,0
7.671,0.685,55.0,0.719,0.44,0.691,0,0,0,0,0,0,0,0,1,0
7.699,0.694,55.3,0.677,0.41,0.798,0,0,0,0,0,0,0,0,1,0
8.993,0.647,65.12,0.553,-0.267,0.752,0,1,0,0,0,0,0,0,0,0
9.117,0.548,65.04,0.464,-0.267,0.697,0,1,0,0,0,0,0,0,0,0
9.144,0.608,64.96,0.614,-0.224,0.498,0,1,0,0,0,0,0,0,0,0
9.116,0.544,64.88,0.495,-0.233,0.535,0,1,0,0,0,0,0,0,0,0
9.184,0.54,64.8,0.558,-0.248,0.46,0,1,0,0,0,0,0,0,0,0
9.263,0.503,64.86,0.632,-0.255,0.353,0,1,0,0,0,0,0,0,0,0
9.332,0.533,64.92,0.659,-0.269,0.321,0,1,0,0,0,0,0,0,0,0
9.371,0.559,64.98,0.722,-0.254,0.349,0,1,0,0,0,0,0,0,0,0
9.414,0.558,65.04,0.72,-0.233,0.416,0,1,0,0,0,0,0,0,0,0
9.442,0.517,65.1,0.64,-0.205,0.502,0,1,0,0,0,0,0,0,0,0
9.47,0.533,64.9,0.606,-0.249,0.561,0,1,0,0,0,0,0,0,0,0
9.517,0.59,64.7,0.821,-0.244,0.59,0,1,0,0,0,0,0,0,0,0
9.565,0.617,64.5,0.775,-0.233,0.755,0,1,0,0,0,0,0,0,0,0
9.617,0.675,64.3,0.811,-0.26,0.647,0,1,0,0,0,0,0,0,0,0
9.569,0.718,64.1,0.764,-0.221,0.583,0,1,0,0,0,0,0,0,0,0
10.689,0.963,70.2,0.847,0.0798571428571428,0.781,0,0,0,0,0,0,0,0,0,1
10.759,0.926,70.48,0.801,0.167,0.792,0,0,0,0,0,0,0,0,0,1
10.77,0.923,70.62,0.766,0.0798571428571428,0.758,0,0,0,0,0,0,0,0,0,1
10.714,0.935,70.76,0.844,0.127,0.69,0,0,0,0,0,0,0,0,0,1
10.756,0.939,70.9,0.843,0.095,0.688,0,0,0,0,0,0,0,0,0,1
10.813,0.947,70.98,0.906,0.033,0.677,0,0,0,0,0,0,0,0,0,1
